year,soi,sst,combined
1900, , , 
1901, , , 
1902, ,En,En
1903, , , 
1904, , , 
1905,En,En,En
1906, , , 
1907, , , 
1908, ,Ln,Ln
1909, ,Ln,Ln
1910,Ln,Ln,Ln
1911,En, ,En
1912, , , 
1913, , , 
1914,En, ,En
1915, , , 
1916,Ln,Ln,Ln
1917,Ln,Ln,Ln
1918, , , 
1919,En, ,En
1920, , , 
1921,Ln, ,Ln
1922, ,Ln,Ln
1923, , , 
1924,Ln, ,Ln
1925,En, ,En
1926, , , 
1927, , , 
1928,Ln, ,Ln
1929, , , 
1930, , , 
1931, , , 
1932, , , 
1933, ,Ln,Ln
1934, , , 
1935, , , 
1936, , , 
1937, , , 
1938,Ln,Ln,Ln
1939, , , 
1940,En, ,En
1941,En,En,En
1942, , , 
1943, , , 
1944, , , 
1945, , , 
1946,En, ,En
1947, , , 
1948, , , 
1949, , , 
1950,Ln,Ln,Ln
1951,En, ,En
1952, , , 
1953,En, ,En
1954, , , 
1955,Ln,Ln,Ln
1956,Ln,Ln,Ln
1957, ,En,En
1958, , , 
1959, , , 
1960, , , 
1961, , , 
1962, , , 
1963, , , 
1964, , , 
1965,En, ,En
1966, , , 
1967, , , 
1968, , , 
1969, ,En,En
1970, , , 
1971,Ln,Ln,Ln
1972,En,En,En
1973,Ln, ,Ln
1974,Ln,Ln,Ln
1975,Ln,Ln,Ln
1976, , , 
1977,En, ,En
1978, , , 
1979, , , 
1980, , , 
1981, , , 
1982,En,En,En
1983, , , 
1984, , , 
1985, , , 
1986, , , 
1987,En,En,En
1988,Ln, ,Ln
1989, , , 
1990, , , 
1991,En,En,En
1992,En,En,En
1993,En,En,En
1994,En,En,En
1995, , , 
1996, , , 
1997,En,En,En
1998,Ln, ,Ln
1999, ,Ln,Ln
2000, , , 
2001, , , 
2002,En,En,En
2003, , , 
2004, , , 
2005, , , 
2006,En, ,En
2007, , , 
2008, , , 
2009, , , 
2010,Ln, ,Ln
2011,Ln, ,Ln
2012, , , 
2013, , , 
2014, , , 
2015,En,En,En
2016, , , 
2017, , , 
2018,,,